,file.name,FilePath,ARU_ID,Date,JDate,year,Time,BinStarts,BinStarts_sec_past_midn,songs_1,songs_2,songs_3,songs_4,songs_5,songs_6,others,listened,standardized_bs,two_min_sc,date_scaled,time_scaled
1,AB_01_1_2016-06-06_33900_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160606_033900.wav,AB_01_1,2016-06-06,158,2016,3:39:00,360,13500,0,0,0,0,0,0,n,y,Paired,0,-1.707908058,-0.842286193
2,AB_01_1_2016-06-06_42300_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160606_042300.wav,AB_01_1,2016-06-06,158,2016,4:23:00,0,15780,0,0,1,0,0,0,n,y,Paired,1,-1.707908058,0.576744675
3,AB_01_1_2016-06-06_43400_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160606_043400.wav,AB_01_1,2016-06-06,158,2016,4:34:00,120,16560,0,0,1,0,1,1,y,y,Paired,3,-1.707908058,1.062202603
4,AB_01_1_2016-06-10_33900_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_033900.wav,AB_01_1,2016-06-10,162,2016,3:39:00,240,13380,3,2,3,1,3,1,n,y,Paired,13,-1.392548023,-0.916972028
5,AB_01_1_2016-06-10_35000_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_035000.wav,AB_01_1,2016-06-10,162,2016,3:50:00,360,14160,3,4,5,3,2,2,n,y,Paired,19,-1.392548023,-0.4315141
6,AB_01_1_2016-06-10_40100_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_040100.wav,AB_01_1,2016-06-10,162,2016,4:01:00,240,14700,0,0,0,0,0,0,n,y,Paired,0,-1.392548023,-0.095427842
7,AB_01_1_2016-06-10_40100_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_040100.wav,AB_01_1,2016-06-10,162,2016,4:01:00,360,14820,0,0,0,0,0,0,n,y,Paired,0,-1.392548023,-0.020742007
8,AB_01_1_2016-06-10_41200_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_041200.wav,AB_01_1,2016-06-10,162,2016,4:12:00,0,15120,0,0,0,0,0,0,n,y,Paired,0,-1.392548023,0.165972581
9,AB_01_1_2016-06-10_41200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_041200.wav,AB_01_1,2016-06-10,162,2016,4:12:00,120,15240,0,0,0,0,0,0,n,y,Paired,0,-1.392548023,0.240658417
10,AB_01_1_2016-06-11_33900_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160611_033900.wav,AB_01_1,2016-06-11,163,2016,3:39:00,240,13380,0,0,0,0,0,0,n,y,Paired,0,-1.313708014,-0.916972028
11,AB_01_1_2016-06-11_35000_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160611_035000.wav,AB_01_1,2016-06-11,163,2016,3:50:00,240,14040,1,1,1,0,1,2,n,y,Paired,6,-1.313708014,-0.506199935
12,AB_01_1_2016-06-12_33900_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160612_033900.wav,AB_01_1,2016-06-12,164,2016,3:39:00,360,13500,4,4,3,2,2,2,n,y,Paired,17,-1.234868006,-0.842286193
13,AB_01_1_2016-06-12_40100_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160612_040100.wav,AB_01_1,2016-06-12,164,2016,4:01:00,120,14580,5,5,4,5,4,2,n,y,Paired,25,-1.234868006,-0.170113677
14,AB_01_1_2016-06-12_42300_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160612_042300.wav,AB_01_1,2016-06-12,164,2016,4:23:00,240,16020,0,0,1,1,2,1,n,n,Paired,5,-1.234868006,0.726116345
15,AB_01_1_2016-06-13_33900_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160613_033900.wav,AB_01_1,2016-06-13,165,2016,3:39:00,480,13620,1,4,3,1,6,3,n,n,Paired,18,-1.156027997,-0.767600358
16,AB_01_1_2016-06-13_40100_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160613_040100.wav,AB_01_1,2016-06-13,165,2016,4:01:00,240,14700,4,4,3,3,5,3,n,y,Paired,22,-1.156027997,-0.095427842
17,AB_01_1_2016-06-13_43400_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160613_043400.wav,AB_01_1,2016-06-13,165,2016,4:34:00,0,16440,0,0,0,0,0,0,n,y,Paired,0,-1.156027997,0.987516768
18,AB_01_1_2016-06-14_42300_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160614_042300.wav,AB_01_1,2016-06-14,166,2016,4:23:00,0,15780,0,0,0,0,0,0,n,n,Paired,0,-1.077187988,0.576744675
19,AB_01_1_2016-06-17_35000_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160617_035000.wav,AB_01_1,2016-06-17,169,2016,3:50:00,480,14280,7,6,5,6,7,6,n,y,Paired,37,-0.840667962,-0.356828265
20,AB_01_1_2016-06-18_33900_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_033900.wav,AB_01_1,2016-06-18,170,2016,3:39:00,480,13620,6,6,6,6,5,3,n,n,Paired,32,-0.761827954,-0.767600358
21,AB_01_1_2016-06-18_41200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_041200.wav,AB_01_1,2016-06-18,170,2016,4:12:00,120,15240,0,0,0,0,0,1,y,n,Paired,1,-0.761827954,0.240658417
22,AB_01_1_2016-06-18_41200_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_041200.wav,AB_01_1,2016-06-18,170,2016,4:12:00,480,15600,0,0,0,0,0,0,n,n,Paired,0,-0.761827954,0.464715922
23,AB_01_1_2016-06-18_42300_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_042300.wav,AB_01_1,2016-06-18,170,2016,4:23:00,120,15900,0,0,0,0,0,0,n,n,Paired,0,-0.761827954,0.65143051
24,AB_01_1_2016-06-19_35000_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160619_035000.wav,AB_01_1,2016-06-19,171,2016,3:50:00,0,13800,4,4,7,4,4,3,n,n,Paired,26,-0.682987945,-0.655571605
25,AB_01_1_2016-06-20_40100_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_040100.wav,AB_01_1,2016-06-20,172,2016,4:01:00,360,14820,0,0,0,0,0,0,n,n,Paired,0,-0.604147937,-0.020742007
26,AB_01_1_2016-06-20_40100_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_040100.wav,AB_01_1,2016-06-20,172,2016,4:01:00,480,14940,0,0,0,0,0,0,n,n,Paired,0,-0.604147937,0.053943829
27,AB_01_1_2016-06-20_42300_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_042300.wav,AB_01_1,2016-06-20,172,2016,4:23:00,0,15780,0,0,1,0,0,0,n,y,Paired,1,-0.604147937,0.576744675
28,AB_01_1_2016-06-20_42300_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_042300.wav,AB_01_1,2016-06-20,172,2016,4:23:00,360,16140,0,0,0,0,0,0,n,n,Paired,0,-0.604147937,0.80080218
29,AB_01_1_2016-06-21_40200_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160621_040200.wav,AB_01_1,2016-06-21,173,2016,4:02:00,0,14520,0,0,0,0,0,0,n,n,Paired,0,-0.525307928,-0.207456594
30,AB_01_1_2016-06-21_41159_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160621_041159.wav,AB_01_1,2016-06-21,173,2016,4:11:59,0,15119,0,0,0,0,0,0,n,y,Paired,0,-0.525307928,0.165350199
31,AB_01_1_2016-06-21_43157_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160621_043157.wav,AB_01_1,2016-06-21,173,2016,4:31:57,360,16677,0,1,0,0,0,0,n,y,Paired,1,-0.525307928,1.135021292
32,AB_01_1_2016-06-22_34200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_034200.wav,AB_01_1,2016-06-22,174,2016,3:42:00,120,13440,0,3,4,3,1,5,n,n,Paired,16,-0.446467919,-0.879629111
33,AB_01_1_2016-06-22_41159_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_041159.wav,AB_01_1,2016-06-22,174,2016,4:11:59,0,15119,0,0,0,0,0,0,n,y,Paired,0,-0.446467919,0.165350199
34,AB_01_1_2016-06-22_41159_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_041159.wav,AB_01_1,2016-06-22,174,2016,4:11:59,480,15599,0,0,0,0,0,0,n,y,Paired,0,-0.446467919,0.46409354
35,AB_01_1_2016-06-23_34200_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_034200.wav,AB_01_1,2016-06-23,175,2016,3:42:00,0,13320,7,7,7,7,7,7,n,n,Paired,42,-0.367627911,-0.954314946
36,AB_01_1_2016-06-23_34200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_034200.wav,AB_01_1,2016-06-23,175,2016,3:42:00,120,13440,7,7,7,7,7,6,n,n,Paired,41,-0.367627911,-0.879629111
37,AB_01_1_2016-06-23_43157_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_043157.wav,AB_01_1,2016-06-23,175,2016,4:31:57,240,16557,0,0,0,0,0,0,n,n,Paired,0,-0.367627911,1.060335457
38,AB_01_1_2016-06-26_35401_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_035401.wav,AB_01_1,2016-06-26,178,2016,3:54:01,120,14161,4,3,4,5,5,5,n,n,Paired,26,-0.131107885,-0.430891718
39,AB_01_1_2016-06-26_42358_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_042358.wav,AB_01_1,2016-06-26,178,2016,4:23:58,360,16198,0,0,0,0,0,0,n,n,Paired,0,-0.131107885,0.836900334
40,AB_01_1_2016-06-26_43357_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_043357.wav,AB_01_1,2016-06-26,178,2016,4:33:57,240,16677,0,0,0,0,0,0,n,y,Paired,0,-0.131107885,1.135021292
41,AB_01_1_2016-06-26_43357_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_043357.wav,AB_01_1,2016-06-26,178,2016,4:33:57,360,16797,0,0,0,0,0,0,n,n,Paired,0,-0.131107885,1.209707128
42,AB_01_1_2016-06-27_34400_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,120,13560,2,2,1,4,3,0,n,y,Feeding Young,12,-0.052267876,-0.804943276
43,AB_01_1_2016-06-27_34400_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,240,13680,3,4,3,5,1,3,n,n,Feeding Young,19,-0.052267876,-0.73025744
44,AB_01_1_2016-06-27_34400_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,360,13800,6,6,6,6,5,4,n,n,Feeding Young,33,-0.052267876,-0.655571605
45,AB_01_1_2016-06-27_34400_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_034400.wav,AB_01_1,2016-06-27,179,2016,3:44:00,480,13920,5,4,5,5,4,5,n,n,Feeding Young,28,-0.052267876,-0.58088577
46,AB_01_1_2016-06-27_35401_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_035401.wav,AB_01_1,2016-06-27,179,2016,3:54:01,0,14041,6,5,4,6,6,6,n,n,Feeding Young,33,-0.052267876,-0.505577553
47,AB_01_1_2016-06-27_35401_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_035401.wav,AB_01_1,2016-06-27,179,2016,3:54:01,120,14161,3,6,5,5,6,6,n,n,Feeding Young,31,-0.052267876,-0.430891718
48,AB_01_1_2016-06-27_40400_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_040400.wav,AB_01_1,2016-06-27,179,2016,4:04:00,0,14640,5,4,5,5,2,3,n,n,Feeding Young,24,-0.052267876,-0.132770759
49,AB_01_1_2016-06-27_40400_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_040400.wav,AB_01_1,2016-06-27,179,2016,4:04:00,360,15000,5,5,6,5,6,5,n,n,Feeding Young,32,-0.052267876,0.091286746
50,AB_01_1_2016-06-27_41359_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_041359.wav,AB_01_1,2016-06-27,179,2016,4:13:59,120,15359,0,0,0,0,0,0,n,n,Feeding Young,0,-0.052267876,0.31472187
51,AB_01_1_2016-06-27_41359_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160627_041359.wav,AB_01_1,2016-06-27,179,2016,4:13:59,360,15599,0,0,0,0,0,0,n,n,Feeding Young,0,-0.052267876,0.46409354
